# wavelength(nm), loading, standard deviation, standard error
1016.6666666666666,nan,nan,nan
1050.0,nan,nan,nan
1083.3333333333333,1.1301063162394285,0.18589105208679554,0.0015049563795215735
1116.6666666666667,1.206285733894838,0.11618317166613078,0.0009084854031927111
1150.0,1.2151570167222834,0.09556585605464431,0.000741891333529247
1183.3333333333333,1.214823738477183,0.08031461611401172,0.0006213071663401329
1216.6666666666665,1.205189029085857,0.06944110673918273,0.0005373675059649664
1250.0,1.199982393621579,0.060123366048118826,0.00046538793323163053
1283.3333333333333,1.2018279684103743,0.052931285112827735,0.000409852354143662
1316.6666666666667,1.203295504931245,0.049498570760924336,0.00038307732059129207
1349.9999999999998,1.1951257228428327,0.04668905973360744,0.00036125834437324063
1383.3333333333333,1.180319486402641,0.0493661850537458,0.00038183556441315604
